Design,# Seq.,# Comb.,Delta Seq,Delta Comb,Leakage (mW),Dynamic Power (mW),Total Power (mW),WNS (ps),
Original,531,13335,,,0.941,20.879,21.82,0.201,
FSM_fault,544,13366,13,31,0.942,21.018,21.96,0.076,
FSM_waste,571,13410,40,75,0.943,21.167,22.11,0.03,
combinatorial_fault,541,13364,10,29,0.942,21.008,21.95,0.052,
combinatorial_leak_secret_am,568,13433,37,98,0.942,21.168,22.11,0.132,
combinatorial_leak_secret_dbpsk,545,13367,14,32,0.942,20.998,21.94,0.162,
combinatorial_leak_secret_fsk,544,13367,13,32,0.942,20.988,21.93,0.164,
combinatorial_leak_secret_lfsr,564,13405,33,70,0.942,21.148,22.09,0.129,
combinatorial_waste,568,13406,37,71,0.942,21.178,22.12,0.116,
counter_fault,561,13431,30,96,0.942,21.208,22.15,0.119,
counter_waste,541,13364,10,29,0.942,20.998,21.94,0.163,
aes_cipher_top_final_combinatorial_mod_ti-16_tc-5678_pd-16,535,13375,4,40,1.019,18.423,23.06,-0.625,
aes_cipher_top_final_complexfsm_leak_am_ti-6_ts-3_pd-5,571,13438,40,103,0.942,17.34,21.9,0.002,
aes_cipher_top_final_complexfsm_leak_dbpsk_ti-6_ts-3_pd-5,548,13369,17,34,0.937,17.185,21.74,0.001,
aes_cipher_top_final_complexfsm_leak_fsk_ti-6_ts-3_pd-5,547,13369,16,34,0.938,17.194,21.75,0.004,
aes_cipher_top_final_complexfsm_leak_lfsr_ti-6_ts-3_pd-5,567,13413,36,78,0.935,17.287,21.84,-0.001,
aes_cipher_top_final_complexfsm_mod_ti-6_ts-3_pd-16,538,13380,7,45,0.945,17.247,21.81,-0.005,
aes_cipher_top_final_counter_leak_am_ti-16_tm-ffff_tw-16_pd-5,602,13530,71,195,0.944,17.578,22.14,-0.002,
aes_cipher_top_final_counter_leak_dbpsk_ti-16_tm-ffff_tw-16_pd-5,579,13459,48,124,0.943,17.429,21.99,0.003,
aes_cipher_top_final_counter_leak_fsk_ti-16_tm-ffff_tw-16_pd-5,578,13459,47,124,0.944,17.448,22.01,-0.001,
aes_cipher_top_final_counter_leak_lfsr_ti-16_tm-ffff_tw-16_pd-5,598,13500,67,165,0.945,17.567,22.13,-0.001,
aes_cipher_top_final_counter_mod_ti-16_tm_ffff_tw-16_pd-16,569,13470,38,135,0.948,17.554,22.12,-0.002,
,,,,,,,,,
